"","date","daily_vaccines"
"144","2024-12-21","[[0.002193, 0.002193],[0.001633, 0.001633],[0.000851, 0.000851],[0.000648, 0.000648],[0.003081, 0.003081]]"
"145","2024-12-22","[[0.002153, 0.002153],[0.001596, 0.001596],[0.000826, 0.000826],[0.000619, 0.000619],[0.003031, 0.003031]]"
"146","2024-12-23","[[0.002113, 0.002113],[0.001561, 0.001561],[0.000801, 0.000801],[0.000592, 0.000592],[0.002981, 0.002981]]"
"147","2024-12-24","[[0.002074, 0.002074],[0.001525, 0.001525],[0.000777, 0.000777],[0.000565, 0.000565],[0.002931, 0.002931]]"
"148","2024-12-25","[[0.002035, 0.002035],[0.00149, 0.00149],[0.000754, 0.000754],[0.00054, 0.00054],[0.002881, 0.002881]]"
"149","2024-12-26","[[0.001997, 0.001997],[0.001456, 0.001456],[0.000731, 0.000731],[0.000515, 0.000515],[0.002831, 0.002831]]"
"150","2024-12-27","[[0.001959, 0.001959],[0.001422, 0.001422],[0.000708, 0.000708],[0.000492, 0.000492],[0.002781, 0.002781]]"
"151","2024-12-28","[[0.001921, 0.001921],[0.001389, 0.001389],[0.000687, 0.000687],[0.00047, 0.00047],[0.002732, 0.002732]]"
"152","2024-12-29","[[0.001883, 0.001883],[0.001356, 0.001356],[0.000665, 0.000665],[0.000448, 0.000448],[0.002683, 0.002683]]"
"153","2024-12-30","[[0.001846, 0.001846],[0.001324, 0.001324],[0.000645, 0.000645],[0.000428, 0.000428],[0.002634, 0.002634]]"
"154","2024-12-31","[[0.001809, 0.001809],[0.001293, 0.001293],[0.000624, 0.000624],[0.000408, 0.000408],[0.002585, 0.002585]]"
"155","2025-01-01","[[0.001773, 0.001773],[0.001262, 0.001262],[0.000605, 0.000605],[0.000389, 0.000389],[0.002537, 0.002537]]"
"156","2025-01-02","[[0.001737, 0.001737],[0.001231, 0.001231],[0.000586, 0.000586],[0.000371, 0.000371],[0.002489, 0.002489]]"
"157","2025-01-03","[[0.001702, 0.001702],[0.001201, 0.001201],[0.000567, 0.000567],[0.000354, 0.000354],[0.002441, 0.002441]]"
"158","2025-01-04","[[0.001667, 0.001667],[0.001172, 0.001172],[0.000549, 0.000549],[0.000338, 0.000338],[0.002394, 0.002394]]"
"159","2025-01-05","[[0.001632, 0.001632],[0.001143, 0.001143],[0.000532, 0.000532],[0.000322, 0.000322],[0.002347, 0.002347]]"
"160","2025-01-06","[[0.001598, 0.001598],[0.001115, 0.001115],[0.000514, 0.000514],[0.000307, 0.000307],[0.0023, 0.0023]]"
"161","2025-01-07","[[0.001565, 0.001565],[0.001087, 0.001087],[0.000498, 0.000498],[0.000293, 0.000293],[0.002254, 0.002254]]"
"162","2025-01-08","[[0.001532, 0.001532],[0.00106, 0.00106],[0.000482, 0.000482],[0.000279, 0.000279],[0.002209, 0.002209]]"
"163","2025-01-09","[[0.001499, 0.001499],[0.001033, 0.001033],[0.000466, 0.000466],[0.000266, 0.000266],[0.002164, 0.002164]]"
"164","2025-01-10","[[0.001467, 0.001467],[0.001007, 0.001007],[0.000451, 0.000451],[0.000254, 0.000254],[0.002119, 0.002119]]"
"165","2025-01-11","[[0.001435, 0.001435],[0.000981, 0.000981],[0.000436, 0.000436],[0.000242, 0.000242],[0.002075, 0.002075]]"
"166","2025-01-12","[[0.001404, 0.001404],[0.000956, 0.000956],[0.000422, 0.000422],[0.000231, 0.000231],[0.002032, 0.002032]]"
"167","2025-01-13","[[0.001373, 0.001373],[0.000932, 0.000932],[0.000408, 0.000408],[0.00022, 0.00022],[0.001989, 0.001989]]"
"168","2025-01-14","[[0.001343, 0.001343],[0.000908, 0.000908],[0.000394, 0.000394],[0.000209, 0.000209],[0.001947, 0.001947]]"
"169","2025-01-15","[[0.001313, 0.001313],[0.000884, 0.000884],[0.000381, 0.000381],[0.000199, 0.000199],[0.001905, 0.001905]]"
"170","2025-01-16","[[0.001284, 0.001284],[0.000861, 0.000861],[0.000369, 0.000369],[0.00019, 0.00019],[0.001864, 0.001864]]"
"171","2025-01-17","[[0.001255, 0.001255],[0.000839, 0.000839],[0.000356, 0.000356],[0.000181, 0.000181],[0.001823, 0.001823]]"
"172","2025-01-18","[[0.001227, 0.001227],[0.000817, 0.000817],[0.000344, 0.000344],[0.000173, 0.000173],[0.001783, 0.001783]]"
"173","2025-01-19","[[0.001199, 0.001199],[0.000795, 0.000795],[0.000333, 0.000333],[0.000164, 0.000164],[0.001744, 0.001744]]"
"174","2025-01-20","[[0.001172, 0.001172],[0.000774, 0.000774],[0.000322, 0.000322],[0.000157, 0.000157],[0.001705, 0.001705]]"
"175","2025-01-21","[[0.001145, 0.001145],[0.000754, 0.000754],[0.000311, 0.000311],[0.000149, 0.000149],[0.001667, 0.001667]]"
"176","2025-01-22","[[0.001119, 0.001119],[0.000734, 0.000734],[0.0003, 0.0003],[0.000142, 0.000142],[0.001629, 0.001629]]"
"177","2025-01-23","[[0.001093, 0.001093],[0.000714, 0.000714],[0.00029, 0.00029],[0.000135, 0.000135],[0.001592, 0.001592]]"
"178","2025-01-24","[[0.001068, 0.001068],[0.000695, 0.000695],[0.00028, 0.00028],[0.000129, 0.000129],[0.001556, 0.001556]]"
"179","2025-01-25","[[0.001043, 0.001043],[0.000676, 0.000676],[0.000271, 0.000271],[0.000123, 0.000123],[0.00152, 0.00152]]"
"180","2025-01-26","[[0.001018, 0.001018],[0.000658, 0.000658],[0.000261, 0.000261],[0.000117, 0.000117],[0.001485, 0.001485]]"
"181","2025-01-27","[[0.000995, 0.000995],[0.00064, 0.00064],[0.000252, 0.000252],[0.000111, 0.000111],[0.00145, 0.00145]]"
"182","2025-01-28","[[0.000971, 0.000971],[0.000623, 0.000623],[0.000244, 0.000244],[0.000106, 0.000106],[0.001417, 0.001417]]"
"183","2025-01-29","[[0.000948, 0.000948],[0.000606, 0.000606],[0.000235, 0.000235],[0.000101, 0.000101],[0.001383, 0.001383]]"
"184","2025-01-30","[[0.000926, 0.000926],[0.000589, 0.000589],[0.000227, 0.000227],[0.000096, 0.000096],[0.001351, 0.001351]]"
"185","2025-01-31","[[0.000904, 0.000904],[0.000573, 0.000573],[0.00022, 0.00022],[0.000092, 0.000092],[0.001319, 0.001319]]"
"186","2025-02-01","[[0.000882, 0.000882],[0.000558, 0.000558],[0.000212, 0.000212],[0.000087, 0.000087],[0.001287, 0.001287]]"
"187","2025-02-02","[[0.000861, 0.000861],[0.000542, 0.000542],[0.000205, 0.000205],[0.000083, 0.000083],[0.001256, 0.001256]]"
"188","2025-02-03","[[0.00084, 0.00084],[0.000527, 0.000527],[0.000198, 0.000198],[0.000079, 0.000079],[0.001226, 0.001226]]"
