"","date","daily_vaccines"
"159","2025-01-05","[[0.001728, 0.001728],[0.001123, 0.001123],[0.000426, 0.000426],[0.000347, 0.000347],[0.002129, 0.002129]]"
"160","2025-01-06","[[0.001692, 0.001692],[0.001095, 0.001095],[0.000413, 0.000413],[0.000331, 0.000331],[0.002087, 0.002087]]"
"161","2025-01-07","[[0.001656, 0.001656],[0.001068, 0.001068],[0.000399, 0.000399],[0.000315, 0.000315],[0.002045, 0.002045]]"
"162","2025-01-08","[[0.001621, 0.001621],[0.001041, 0.001041],[0.000387, 0.000387],[0.000301, 0.000301],[0.002004, 0.002004]]"
"163","2025-01-09","[[0.001587, 0.001587],[0.001015, 0.001015],[0.000374, 0.000374],[0.000287, 0.000287],[0.001963, 0.001963]]"
"164","2025-01-10","[[0.001553, 0.001553],[0.000989, 0.000989],[0.000362, 0.000362],[0.000273, 0.000273],[0.001923, 0.001923]]"
"165","2025-01-11","[[0.001519, 0.001519],[0.000964, 0.000964],[0.00035, 0.00035],[0.00026, 0.00026],[0.001883, 0.001883]]"
"166","2025-01-12","[[0.001486, 0.001486],[0.000939, 0.000939],[0.000338, 0.000338],[0.000248, 0.000248],[0.001843, 0.001843]]"
"167","2025-01-13","[[0.001453, 0.001453],[0.000915, 0.000915],[0.000327, 0.000327],[0.000237, 0.000237],[0.001804, 0.001804]]"
"168","2025-01-14","[[0.001421, 0.001421],[0.000892, 0.000892],[0.000316, 0.000316],[0.000225, 0.000225],[0.001766, 0.001766]]"
"169","2025-01-15","[[0.00139, 0.00139],[0.000868, 0.000868],[0.000306, 0.000306],[0.000215, 0.000215],[0.001728, 0.001728]]"
"170","2025-01-16","[[0.001359, 0.001359],[0.000846, 0.000846],[0.000296, 0.000296],[0.000205, 0.000205],[0.001691, 0.001691]]"
"171","2025-01-17","[[0.001329, 0.001329],[0.000824, 0.000824],[0.000286, 0.000286],[0.000195, 0.000195],[0.001654, 0.001654]]"
"172","2025-01-18","[[0.001299, 0.001299],[0.000802, 0.000802],[0.000276, 0.000276],[0.000186, 0.000186],[0.001618, 0.001618]]"
"173","2025-01-19","[[0.001269, 0.001269],[0.000781, 0.000781],[0.000267, 0.000267],[0.000177, 0.000177],[0.001582, 0.001582]]"
"174","2025-01-20","[[0.001241, 0.001241],[0.00076, 0.00076],[0.000258, 0.000258],[0.000169, 0.000169],[0.001547, 0.001547]]"
"175","2025-01-21","[[0.001212, 0.001212],[0.00074, 0.00074],[0.000249, 0.000249],[0.000161, 0.000161],[0.001512, 0.001512]]"
"176","2025-01-22","[[0.001184, 0.001184],[0.000721, 0.000721],[0.000241, 0.000241],[0.000153, 0.000153],[0.001478, 0.001478]]"
"177","2025-01-23","[[0.001157, 0.001157],[0.000701, 0.000701],[0.000233, 0.000233],[0.000146, 0.000146],[0.001444, 0.001444]]"
"178","2025-01-24","[[0.00113, 0.00113],[0.000683, 0.000683],[0.000225, 0.000225],[0.000139, 0.000139],[0.001411, 0.001411]]"
"179","2025-01-25","[[0.001104, 0.001104],[0.000664, 0.000664],[0.000217, 0.000217],[0.000132, 0.000132],[0.001379, 0.001379]]"
"180","2025-01-26","[[0.001078, 0.001078],[0.000646, 0.000646],[0.00021, 0.00021],[0.000126, 0.000126],[0.001347, 0.001347]]"
"181","2025-01-27","[[0.001053, 0.001053],[0.000629, 0.000629],[0.000203, 0.000203],[0.00012, 0.00012],[0.001316, 0.001316]]"
"182","2025-01-28","[[0.001028, 0.001028],[0.000612, 0.000612],[0.000196, 0.000196],[0.000114, 0.000114],[0.001285, 0.001285]]"
"183","2025-01-29","[[0.001004, 0.001004],[0.000595, 0.000595],[0.000189, 0.000189],[0.000109, 0.000109],[0.001255, 0.001255]]"
"184","2025-01-30","[[0.00098, 0.00098],[0.000579, 0.000579],[0.000183, 0.000183],[0.000104, 0.000104],[0.001225, 0.001225]]"
"185","2025-01-31","[[0.000956, 0.000956],[0.000563, 0.000563],[0.000176, 0.000176],[0.000099, 0.000099],[0.001196, 0.001196]]"
"186","2025-02-01","[[0.000934, 0.000934],[0.000548, 0.000548],[0.00017, 0.00017],[0.000094, 0.000094],[0.001168, 0.001168]]"
"187","2025-02-02","[[0.000911, 0.000911],[0.000533, 0.000533],[0.000164, 0.000164],[0.000089, 0.000089],[0.00114, 0.00114]]"
"188","2025-02-03","[[0.000889, 0.000889],[0.000518, 0.000518],[0.000159, 0.000159],[0.000085, 0.000085],[0.001112, 0.001112]]"
